,Accident Date,Time (24hr),Road Surface,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
0,2014-01-01,14:15:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,28
1,2014-01-01,00:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Male,29
2,2014-01-01,02:20:00,Dry,Fine without high winds,Car,Driver,Slight,Female,21
3,2014-01-01,01:30:00,Wet/Damp,Fine without high winds,Car,Pedestrian,Serious,Female,34
4,2014-01-01,14:15:00,Dry,Fine without high winds,Car,Driver,Slight,Male,34
5,2014-01-01,15:45:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,34
6,2014-01-01,15:37:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Female,29
7,2014-01-01,18:30:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,24
8,2014-01-01,11:55:00,Wet/Damp,Raining with high winds,Car,Passenger,Slight,Male,15
9,2014-01-01,12:40:00,Dry,Fine without high winds,Car,Driver,Serious,Male,26
10,2014-01-01,00:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,32
11,2014-01-01,18:40:00,Wet/Damp,Raining without high winds,Car,Driver,Slight,Male,58
12,2014-01-01,08:30:00,Dry,Fine without high winds,Car,Driver,Slight,Female,34
13,2014-01-01,16:20:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Male,16
14,2014-01-01,12:25:00,Wet/Damp,Fine without high winds,Motorcycle,Driver,Slight,Male,29
15,2014-01-02,12:20:00,Dry,Fine without high winds,Car,Pedestrian,Slight,Male,12
16,2014-01-02,14:15:00,Wet/Damp,Fine without high winds,Car,Passenger,Slight,Female,27
17,2014-01-02,15:30:00,Dry,Fine without high winds,Pedal cycle,Driver,Slight,Female,20
18,2014-01-03,09:40:00,Dry,Fine without high winds,Car,Driver,Slight,Female,37
19,2014-01-03,10:05:00,Dry,Fine without high winds,Car,Driver,Slight,Male,65
20,2014-01-03,10:05:00,Dry,Fine without high winds,Car,Passenger,Slight,Female,49
21,2014-01-03,10:25:00,Dry,Fine without high winds,Bus,Passenger,Slight,Female,27
22,2014-01-03,19:10:00,Dry,Fine without high winds,Car,Pedestrian,Serious,Female,27
